ID,Name,State,Year,Month,Temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,2015,July,71.6,2.5,115,69.1
CA-003,Alpine County,California,2015,July,59.1,-2.1,23,61.2
CA-005,Amador County,California,2015,July,74.3,0.2,63,74.1
CA-007,Butte County,California,2015,July,77,0.7,78,76.3
CA-009,Calaveras County,California,2015,July,75,0.2,63,74.8
CA-011,Colusa County,California,2015,July,78.8,1.1,86,77.7
CA-013,Contra Costa County,California,2015,July,72.1,1.4,99,70.7
CA-015,Del Norte County,California,2015,July,68.2,3.8,123,64.4
CA-017,El Dorado County,California,2015,July,70.5,-0.2,54,70.7
CA-019,Fresno County,California,2015,July,72.5,0.2,64,72.3
CA-021,Glenn County,California,2015,July,78.2,0.8,83,77.4
CA-023,Humboldt County,California,2015,July,70,4.3,129,65.7
CA-025,Imperial County,California,2015,July,91.4,-0.3,43,91.7
CA-027,Inyo County,California,2015,July,78.5,-2.4,9,80.9
CA-029,Kern County,California,2015,July,78.4,-1.2,34,79.6
CA-031,Kings County,California,2015,July,81.8,1.1,85,80.7
CA-033,Lake County,California,2015,July,73.9,0.7,78,73.2
CA-035,Lassen County,California,2015,July,66.6,0.6,64,66
CA-037,Los Angeles County,California,2015,July,73.8,-0.4,49,74.2
CA-039,Madera County,California,2015,July,73.7,0.5,69,73.2
CA-041,Marin County,California,2015,July,63.9,3.3,127,60.6
CA-043,Mariposa County,California,2015,July,72.3,-0.1,57,72.4
CA-045,Mendocino County,California,2015,July,70.5,2.6,115,67.9
CA-047,Merced County,California,2015,July,78.5,1,87,77.5
CA-049,Modoc County,California,2015,July,67,1.5,79,65.5
CA-051,Mono County,California,2015,July,61.3,-1.4,27,62.7
CA-053,Monterey County,California,2015,July,70.9,2.3,114,68.6
CA-055,Napa County,California,2015,July,73.4,1.6,108,71.8
CA-057,Nevada County,California,2015,July,69.7,0.9,73,68.8
CA-059,Orange County,California,2015,July,72.6,1.4,94,71.2
CA-061,Placer County,California,2015,July,70.6,0.5,68,70.1
CA-063,Plumas County,California,2015,July,66.2,1.3,80,64.9
CA-065,Riverside County,California,2015,July,83.8,-1.4,19,85.2
CA-067,Sacramento County,California,2015,July,77.8,1.8,102,76
CA-069,San Benito County,California,2015,July,73.5,1.5,94,72
CA-071,San Bernardino County,California,2015,July,83.6,-2.4,12,86
CA-073,San Diego County,California,2015,July,74.2,-0.6,36,74.8
CA-075,San Francisco County,California,2015,July,65.2,4.5,129,60.7
CA-077,San Joaquin County,California,2015,July,77.1,1.4,96,75.7
CA-079,San Luis Obispo County,California,2015,July,71.9,0.9,86,71
CA-081,San Mateo County,California,2015,July,66.4,4.6,128,61.8
CA-083,Santa Barbara County,California,2015,July,69.8,2.6,112,67.2
CA-085,Santa Clara County,California,2015,July,71.3,2.5,113,68.8
CA-087,Santa Cruz County,California,2015,July,68.7,5.4,130,63.3
CA-089,Shasta County,California,2015,July,74.7,2,93,72.7
CA-091,Sierra County,California,2015,July,65,1,77,64
CA-093,Siskiyou County,California,2015,July,68.9,2.9,105,66
CA-095,Solano County,California,2015,July,74.6,2,109,72.6
CA-097,Sonoma County,California,2015,July,67.6,2.1,113,65.5
CA-099,Stanislaus County,California,2015,July,77.1,0.8,83,76.3
CA-101,Sutter County,California,2015,July,79.9,1.7,98,78.2
CA-103,Tehama County,California,2015,July,77.2,0.8,76,76.4
CA-105,Trinity County,California,2015,July,72.3,3.2,111,69.1
CA-107,Tulare County,California,2015,July,71.2,-0.4,47,71.6
CA-109,Tuolumne County,California,2015,July,66.4,-0.7,43,67.1
CA-111,Ventura County,California,2015,July,70.2,1.7,96,68.5
CA-113,Yolo County,California,2015,July,78.1,1.5,102,76.6
CA-115,Yuba County,California,2015,July,78,1.3,86,76.7
CA-001,Alameda County,California,2015,August,71.7,2.8,120,68.9
CA-003,Alpine County,California,2015,August,61.9,1.6,92,60.3
CA-005,Amador County,California,2015,August,74.6,1.7,97,72.9
CA-007,Butte County,California,2015,August,75.5,0.8,80,74.7
CA-009,Calaveras County,California,2015,August,75.2,1.5,97,73.7
CA-011,Colusa County,California,2015,August,77.3,1.4,98,75.9
CA-013,Contra Costa County,California,2015,August,72.3,2,107,70.3
CA-015,Del Norte County,California,2015,August,65.7,1.2,94,64.5
CA-017,El Dorado County,California,2015,August,71.3,1.5,94,69.8
CA-019,Fresno County,California,2015,August,73.2,2.4,109,70.8
CA-021,Glenn County,California,2015,August,76,0.3,73,75.7
CA-023,Humboldt County,California,2015,August,68.2,2.4,118,65.8
CA-025,Imperial County,California,2015,August,95.8,5,129,90.8
CA-027,Inyo County,California,2015,August,82.5,3.3,118,79.2
CA-029,Kern County,California,2015,August,80.6,2.3,108,78.3
CA-031,Kings County,California,2015,August,81.1,2.1,103,79.1
CA-033,Lake County,California,2015,August,73.1,1,91,72.1
CA-035,Lassen County,California,2015,August,66.7,2.1,100,64.6
CA-037,Los Angeles County,California,2015,August,77.9,3.9,123,74
CA-039,Madera County,California,2015,August,74.2,2.4,115,71.8
CA-041,Marin County,California,2015,August,65.7,4.4,127,61.3
CA-043,Mariposa County,California,2015,August,73.4,2.1,106,71.3
CA-045,Mendocino County,California,2015,August,69.9,2.1,117,67.8
